Gene,Chi2_Score
5S_rRNA,20.0
XIST,20.0
PPIAP91,20.0
FGF13-AS1,20.0
LINC01546,20.0
IGBP1,20.0
IGBP1-AS2,20.0
ZNF41,18.0
MIR221,18.0
MIR222HG,18.0
LINC01560,18.0
MIR222,18.0
FTH1P28,18.0
FAM223A,18.0
SSX14P,16.545454545454547
MAGEE2,16.545454545454547
FLICR,16.545454545454547
PGAM1P7,16.545454545454547
KRT18P44,16.000000000000004
MIR450A1,16.000000000000004
MIR4330,16.000000000000004
HSFX4,16.000000000000004
SPIN3,16.000000000000004
MIR542,16.000000000000004
RHOXF1P1,16.000000000000004
MIR450A2,16.000000000000004
MIR450B,16.000000000000004
EOLA2,16.000000000000004
ENOX2,16.000000000000004
DHRSX,16.000000000000004
MATR3P1,16.000000000000004
COBLP1,14.600000000000001
BEX1,14.600000000000001
EEF1B2P3,14.600000000000001
ZIK1P1,14.000000000000002
NBDY,14.000000000000002
APLN,14.000000000000002
XACT,14.000000000000002
VENTXP1,14.000000000000002
LINC03113,14.000000000000002
TJAP1P1,14.0
SSX11P,14.0
AKIRIN1P2,14.0
BRAFP1,14.0
ZIC3,14.0
LIMK2P1,14.0
CHMP5P1,14.0
NPM1P9,14.0
RPS6P26,14.0
PRRG1,13.5
RNU6-29P,12.666666666666668
LINC00629,12.666666666666668
MIR503,12.666666666666668
MIR503HG,12.666666666666668
PHB1P10,12.666666666666668
MIR424,12.666666666666668
MIR514A2,12.181818181818183
FUNDC1,12.181818181818183
FTH1P14,12.181818181818183
NFYCP1,12.153846153846153
CYBB,12.153846153846153
RPS27AP20,12.153846153846153
MIR6134,12.0
FUNDC2,12.0
P2RY4,12.0
MRPS17P9,12.0
SHOX,12.0
HMGN2P48,12.0
IGBP1-AS1,12.0
PABPC1L2B,12.0
VCF2,11.230769230769232
PSMA6P2,10.857142857142858
MIR651,10.857142857142858
NDUFB11,10.857142857142858
TCP11X3P,10.750000000000002
RN7SKP20,10.750000000000002
MAP2K4P1,10.5
EFNB1,10.5
HMGN5,10.5
TCP11X2,10.5
MIR320D2,10.400000000000002
TEX13D,10.4
LINC01496,10.000000000000002
RENBP,10.000000000000002
YIPF6,10.000000000000002
FGF13,10.000000000000002
NUDT11,10.000000000000002
SUV39H1,10.0
SETP15,10.0
GEMIN7P1,10.0
MIR548AJ2,10.0
RNU5F-7P,10.0
FMN2P1,10.0
FAM223B,10.0
MIRLET7F2,10.0
MORF4L1P5,10.0
RBMX2,10.0
RBMX2P2,10.0
UBE2DNL,10.0
TENT5D,10.0
VN1R110P,10.0
MIR98,10.0
DUSP9,10.0
P2RY8,10.0
ACAA2P1,9.8
HS6ST2,9.8
MIR1277,9.8
TUBB4BP3,9.578947368421053
PAGE3,9.578947368421053
HDAC8,9.578947368421053
CYLC1,9.5
OOEPP1,9.384615384615387
GAPDHP1,9.384615384615387
MAGEE1,9.384615384615387
RN7SL732P,9.384615384615387
NR0B1,9.384615384615387
PHF10P1,9.384615384615387
TMLHEP1,9.384615384615387
TWF1P2,9.384615384615387
GOT2P6,9.384615384615387
TMEM31,9.384615384615387
TSIX,9.333333333333334
VEZTP1,9.333333333333334
PHF6,9.333333333333334
KRABD4,9.333333333333334
LDHBP2,9.333333333333332
ECMXP,9.333333333333332
TEX13A,9.294117647058826
FAM9B,9.294117647058826
TSR2,8.857142857142858
FAM236C,8.857142857142858
NKRF,8.857142857142858
RBBP8P1,8.857142857142858
UBTFL11,8.857142857142858
SOX3,8.857142857142858
SETP4,8.857142857142858
MIR514A3,8.666666666666666
WNK3,8.666666666666666
DMRTC1,8.588235294117649
NDUFA1,8.4
KCTD9P2,8.4
PDHA1,8.4
RNF113A,8.4
MMGT1,8.375
NAA10,8.375
ARHGEF6,8.375
SSX15P,8.375
IKBKG,8.375
MIR6857,8.375
SAGE3P,8.375
MAGEA7P,8.000000000000002
ITPK1P1,8.000000000000002
TUSC2P2,8.000000000000002
KRT18P49,8.000000000000002
RPSAP61,8.000000000000002
SMSP1,8.000000000000002
PDCL2P1,8.000000000000002
WDR44,8.000000000000002
DANT1,8.000000000000002
PAK3,8.000000000000002
CRLF2,8.000000000000002
MIR3672,8.000000000000002
MIR188,8.000000000000002
MIR532,8.000000000000002
RPL30P15,8.000000000000002
SMIM10L2B-AS1,8.000000000000002
CFAP47,8.0
MIR509-1,8.0
MIR509-2,8.0
COPS8P1,8.0
ARSD-AS1,8.0
MIR1298,8.0
MIR509-3,8.0
UXT-AS1,7.999999999999999
PLS3,7.81818181818182
TUBAP6,7.81818181818182
IL3RA,7.81818181818182
NXF5,7.714285714285715
ARMCX2,7.714285714285714
NYX,7.625000000000002
SPIN2P1,7.6
KAT7P1,7.6
LINC00269,7.538461538461539
METTL15P3,7.538461538461539
HMGN1P37,7.428571428571429
TBCAP1,7.428571428571429
PKMP2,7.428571428571429
PPP4R3C,7.428571428571429
SH2D1A,7.428571428571429
RNU1-67P,7.4
SMARCA1,7.4
DANT2,7.4
CXorf51A,7.300000000000001
CXorf51B,7.300000000000001
ARX,7.052631578947368
KRT8P8,7.052631578947368
SSX4,7.000000000000002
KRT18P48,7.000000000000002
HDX,7.000000000000002
MRFAP1P1,7.000000000000002
NUDT10,7.000000000000001
AP2B1P1,7.000000000000001
SPANXD,7.0
KLHL15,7.0
HMGN1P35,7.0
SSX7,7.0
ZC4H2,7.0
ACTRT1,7.0
PHF8,7.0
SH3BGRL,7.0
CLTRN,7.0
FMR1-IT1,7.0
MIR3202-2,7.0
RNA5SP498,7.0
MIR3202-1,7.0
RDXP2,7.0
RAB28P5,7.0
RDXP3,7.0
CT83,7.0
CUL4B,6.7368421052631575
GNL3L,6.7272727272727275
ARL5AP5,6.7272727272727275
PBDC1,6.615384615384616
SSX6P,6.615384615384616
GPC4,6.500000000000001
MAGT1,6.5
TAB3-AS2,6.5
TAB3,6.5
PPP2R3B,6.5
ATG4AP1,6.5
EIF4A1P10,6.250000000000001
PABPC1L2B-AS1,6.25
GLRX5P1,6.2
UBE2E4P,6.2
GSPT2,6.125
EIF4BP9,6.11764705882353
CDKL5,6.11764705882353
ZC3H12B,6.0
PNMA5,6.0
P2RY10,6.0
PPIAP89,6.0
NCBP2L,6.0
ARHGEF9,6.0
NOLC1P1,6.0
ACTBP1,6.0
MIR548I4,6.0
MIR548F5,6.0
RAD21P1,6.0
HMGA1P1,6.0
HCCS-DT,6.0
HCCS,6.0
MIR3978,6.0
MID1IP1,6.0
CTNNBL1P1,6.0
FTLP16,6.0
LINC01456,6.0
SNORA48B,6.0
LINC03070,6.0
SOCS5P4,6.0
HMGB1P16,6.0
BCLAF3,6.0
BAG1P1,6.0
IDSP1,6.0
TCERG1P1,6.0
LINC01186,6.0
LINC01278,6.0
HNRNPCP10,6.0
RPS26P58,6.0
RHOXF1P2,6.0
RPS5P7,6.0
MAGEA9,6.0
MID1IP1-AS1,6.0
S100G,6.0
CNOT7P1,5.818181818181818
CXorf38,5.818181818181818
PCDH11X,5.818181818181818
RN7SL687P,5.818181818181818
TMEM30BP1,5.764705882352941
MSL3-DT,5.764705882352941
LAMP2,5.764705882352941
GAB3,5.636363636363637
CETN2,5.636363636363637
XAGE1B,5.6
RS1,5.6
RBM22P7,5.6
RAB11FIP1P1,5.6
SSBL2P,5.6
TMSB15B,5.428571428571429
SLC25A53P1,5.428571428571429
PLLPP1,5.428571428571429
RADX,5.428571428571429
IL13RA2,5.428571428571429
CSF2RA,5.428571428571429
ETDC,5.375
ZNF674,5.333333333333333
SSX13P,5.333333333333333
EIF5P1,5.333333333333333
TFDP3,5.285714285714286
RNF128,5.200000000000001
ESX1,5.200000000000001
MYCLP1,5.200000000000001
AMER1,5.200000000000001
MIR3690,5.200000000000001
EIF1AX,5.200000000000001
FAM47B,5.2
RBM10,5.2
CLDN34,5.2
FAM47A,5.2
FTH1P19,5.2
ANKRD11P2,5.2
OCRL,5.2
SKP2P1,5.2
IMPDH1P4,5.2
CROCCP1,5.2
MAGEB6B,5.2
TBX22,5.157894736842106
MCTS1,5.157894736842106
SUPT20HL1,5.090909090909092
PHKA1-AS1,5.090909090909092
HSFX3,5.090909090909092
MAGEA3,5.090909090909092
XPNPEP2,5.0588235294117645
VEGFD,5.000000000000001
B3GNT2P1,5.000000000000001
GAPDHP65,5.000000000000001
GABRA3,5.000000000000001
SNORA70,4.76923076923077
ALG13,4.76923076923077
HSFX2,4.750000000000001
MIR767,4.750000000000001
MIR105-1,4.750000000000001
MIR105-2,4.750000000000001
VMA21,4.750000000000001
API5P1,4.75
RNU6-146P,4.75
RPL19P21,4.666666666666667
MIR892C,4.666666666666666
MIR888,4.666666666666666
MIR892A,4.666666666666666
MIR4329,4.666666666666666
MIR892B,4.666666666666666
FTLP2,4.666666666666666
MIR890,4.666666666666666
MAGEB18,4.625
CT47C1,4.625
GLOD5,4.625
DNAAF6,4.545454545454546
EMD,4.545454545454546
LINC02931,4.545454545454546
MAGEB17-AS1,4.526315789473684
GRPR,4.526315789473684
GCNA,4.5
SASH3,4.5
DGAT2L6,4.5
